date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,676.5,680.8,675.0,678.4,1264311
2021-01-04 00:00:00+05:30,680.35,697.6,680.35,695.85,5031655
2021-01-05 00:00:00+05:30,691.1,715.0,690.25,713.75,6955494
2021-01-06 00:00:00+05:30,713.0,720.5,705.4,719.05,3582162
2021-01-07 00:00:00+05:30,720.0,723.8,702.5,704.3,3284785
2021-01-08 00:00:00+05:30,715.4,721.95,708.1,717.0,2841346
2021-01-11 00:00:00+05:30,720.9,731.0,715.7,725.1,3216546
2021-01-12 00:00:00+05:30,727.0,727.0,714.2,718.4,1607350
2021-01-13 00:00:00+05:30,718.45,724.7,708.55,713.25,2639680
2021-01-14 00:00:00+05:30,713.0,718.55,702.55,706.9,1995368
2021-01-15 00:00:00+05:30,708.4,717.0,702.2,704.85,2417123
2021-01-18 00:00:00+05:30,703.0,709.3,689.0,693.95,2381523
2021-01-19 00:00:00+05:30,695.0,701.55,693.7,698.55,2016585
2021-01-20 00:00:00+05:30,700.0,711.85,700.0,702.95,2495461
2021-01-21 00:00:00+05:30,710.0,711.9,699.0,700.5,2254977
2021-01-22 00:00:00+05:30,702.7,708.8,684.1,687.4,2644349
2021-01-25 00:00:00+05:30,695.0,699.5,665.65,680.4,3532317
2021-01-27 00:00:00+05:30,685.0,695.0,673.05,682.85,3629780
2021-01-28 00:00:00+05:30,679.5,683.05,670.1,671.8,1964058
2021-01-29 00:00:00+05:30,673.65,684.95,668.15,677.95,4598451
2021-02-01 00:00:00+05:30,678.3,713.3,668.5,699.05,8383807
2021-02-02 00:00:00+05:30,710.5,712.0,674.5,681.05,6702065
2021-02-03 00:00:00+05:30,685.0,695.0,679.0,689.2,2902411
2021-02-04 00:00:00+05:30,685.25,690.65,678.15,680.4,3379697
2021-02-05 00:00:00+05:30,682.6,684.95,672.4,681.55,2759333
2021-02-08 00:00:00+05:30,685.85,691.4,677.25,684.05,3887493
2021-02-09 00:00:00+05:30,688.7,710.2,687.95,704.9,7331068
2021-02-10 00:00:00+05:30,710.05,723.9,710.0,719.05,8514545
2021-02-11 00:00:00+05:30,721.0,726.45,710.3,714.2,3044979
2021-02-12 00:00:00+05:30,713.95,720.0,708.25,710.95,1760221
2021-02-15 00:00:00+05:30,713.5,717.35,694.2,695.25,3871100
2021-02-16 00:00:00+05:30,696.4,704.0,686.95,695.35,3066134
2021-02-17 00:00:00+05:30,696.0,711.5,693.0,703.1,3533494
2021-02-18 00:00:00+05:30,703.5,715.95,702.0,713.45,2949918
2021-02-19 00:00:00+05:30,715.3,723.45,703.1,710.65,3787638
2021-02-22 00:00:00+05:30,711.0,713.65,688.05,690.6,3110151
