date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,382.0,385.9,373.25,378.05,530682
2021-01-04 00:00:00+05:30,380.0,380.45,369.0,373.7,1018281
2021-01-05 00:00:00+05:30,375.15,379.9,367.05,377.35,824289
2021-01-06 00:00:00+05:30,374.4,385.35,373.1,383.9,984770
2021-01-07 00:00:00+05:30,388.0,402.0,385.5,395.05,1742941
2021-01-08 00:00:00+05:30,399.9,405.4,390.85,400.15,1882075
2021-01-11 00:00:00+05:30,404.4,408.8,387.0,399.85,1245256
2021-01-12 00:00:00+05:30,399.65,405.4,391.5,403.3,1056087
2021-01-13 00:00:00+05:30,405.15,405.4,394.3,400.7,1189130
2021-01-14 00:00:00+05:30,399.1,402.95,393.5,399.7,857430
2021-01-15 00:00:00+05:30,399.0,417.8,378.45,387.0,1282985
2021-01-18 00:00:00+05:30,387.05,397.0,375.3,379.7,943082
2021-01-19 00:00:00+05:30,382.0,401.9,381.35,395.25,988288
2021-01-20 00:00:00+05:30,391.0,410.0,388.8,405.95,1562021
2021-01-21 00:00:00+05:30,412.0,451.4,409.1,435.25,5308060
2021-01-22 00:00:00+05:30,440.0,456.0,420.4,429.7,2469895
2021-01-25 00:00:00+05:30,433.1,440.0,401.0,412.25,2322649
2021-01-27 00:00:00+05:30,409.9,438.85,400.6,428.05,2709615
2021-01-28 00:00:00+05:30,410.95,442.0,408.65,424.8,2487001
2021-01-29 00:00:00+05:30,428.95,434.15,408.2,427.75,1662912
2021-02-01 00:00:00+05:30,426.0,426.0,408.5,416.45,1147767
2021-02-02 00:00:00+05:30,411.35,420.45,403.2,414.7,1708220
2021-02-03 00:00:00+05:30,412.1,417.65,405.0,411.05,2580016
2021-02-04 00:00:00+05:30,409.7,422.95,402.1,413.2,2270501
2021-02-05 00:00:00+05:30,414.5,421.0,406.65,410.05,1175415
2021-02-08 00:00:00+05:30,414.45,416.65,406.4,408.2,902673
2021-02-09 00:00:00+05:30,401.0,410.5,397.3,406.5,6843035
2021-02-10 00:00:00+05:30,408.55,410.1,403.35,408.35,1335357
2021-02-11 00:00:00+05:30,408.5,409.55,397.0,399.35,2979673
2021-02-12 00:00:00+05:30,399.75,399.75,391.5,398.9,2494865
