date,open,high,low,close,volume
2021-01-01 00:00:00+05:30,78.0,79.2,77.75,78.95,1921334
2021-01-04 00:00:00+05:30,79.95,79.95,78.55,79.2,2390073
2021-01-05 00:00:00+05:30,78.45,79.35,77.5,77.85,2759406
2021-01-06 00:00:00+05:30,78.25,79.25,77.2,77.55,1946818
2021-01-07 00:00:00+05:30,78.1,79.2,77.75,78.8,2491594
2021-01-08 00:00:00+05:30,79.7,80.95,79.0,80.05,5712095
2021-01-11 00:00:00+05:30,80.9,81.35,79.0,79.2,2210359
2021-01-12 00:00:00+05:30,79.0,79.85,78.8,79.15,1425066
2021-01-13 00:00:00+05:30,79.2,81.45,79.2,79.8,4061742
2021-01-14 00:00:00+05:30,80.3,81.15,79.05,79.75,2465989
2021-01-15 00:00:00+05:30,79.9,80.05,77.3,77.8,1895222
2021-01-18 00:00:00+05:30,78.0,78.2,75.75,76.7,1744927
2021-01-19 00:00:00+05:30,77.05,78.7,77.05,78.5,1396282
2021-01-20 00:00:00+05:30,78.45,78.6,77.3,77.45,1206173
2021-01-21 00:00:00+05:30,78.0,78.25,75.6,75.85,1176309
2021-01-22 00:00:00+05:30,75.6,76.75,72.85,73.5,2476363
2021-01-25 00:00:00+05:30,74.0,74.25,73.0,73.8,1244465
2021-01-27 00:00:00+05:30,74.5,74.5,73.25,73.95,1749230
2021-01-28 00:00:00+05:30,72.8,75.4,72.6,74.75,1086457
2021-01-29 00:00:00+05:30,74.8,75.65,72.05,72.7,1715642
2021-02-01 00:00:00+05:30,72.7,73.45,72.45,72.8,1806604
2021-02-02 00:00:00+05:30,73.25,75.8,73.25,73.8,2217560
2021-02-03 00:00:00+05:30,75.0,75.45,73.5,73.75,2798432
2021-02-04 00:00:00+05:30,74.1,75.95,73.9,74.6,2428882
2021-02-05 00:00:00+05:30,75.0,75.8,74.05,74.35,1660295
2021-02-08 00:00:00+05:30,75.5,78.5,75.05,77.6,5376321
2021-02-09 00:00:00+05:30,78.3,78.9,76.7,76.95,2399099
2021-02-10 00:00:00+05:30,76.9,77.5,75.6,76.1,1266034
2021-02-11 00:00:00+05:30,75.5,76.65,74.8,75.35,1236268
2021-02-12 00:00:00+05:30,74.75,75.7,74.05,74.95,2553059
2021-02-15 00:00:00+05:30,75.0,75.7,73.75,73.9,2237641
2021-02-16 00:00:00+05:30,74.1,75.55,70.2,71.3,8049335
2021-02-17 00:00:00+05:30,71.2,72.55,71.0,71.15,3887196
2021-02-18 00:00:00+05:30,71.9,75.35,71.6,74.65,7233875
2021-02-19 00:00:00+05:30,75.7,77.2,73.3,73.65,7157741
2021-02-22 00:00:00+05:30,73.55,74.35,72.0,72.2,3143129
2021-02-23 00:00:00+05:30,72.95,73.3,71.9,72.05,2537310
2021-02-24 00:00:00+05:30,72.45,73.85,72.3,72.95,2072804
2021-02-25 00:00:00+05:30,73.65,76.6,73.55,75.4,7804508
2021-02-26 00:00:00+05:30,74.1,82.25,73.6,80.1,24257908
2021-03-01 00:00:00+05:30,81.45,89.25,81.2,86.2,34049536
2021-03-02 00:00:00+05:30,88.0,91.3,85.5,87.1,22663403
2021-03-03 00:00:00+05:30,92.45,93.3,88.25,88.95,21517276
2021-03-04 00:00:00+05:30,87.1,87.75,85.7,86.05,7947459
